run	metric	query	value
summaryOnly	num_ret               	1	1000
summaryOnly	iprec_at_recall_0.30  	25	0.0785
summaryOnly	iprec_at_recall_0.40  	25	0
summaryOnly	iprec_at_recall_0.50  	25	0
summaryOnly	iprec_at_recall_0.60  	25	0
summaryOnly	iprec_at_recall_0.70  	25	0
summaryOnly	iprec_at_recall_0.80  	25	0
summaryOnly	iprec_at_recall_0.90  	25	0
summaryOnly	iprec_at_recall_1.00  	25	0
summaryOnly	P_5                   	25	0.2
summaryOnly	P_10                  	25	0.1
summaryOnly	P_15                  	25	0.1333
summaryOnly	P_20                  	25	0.1
summaryOnly	P_30                  	25	0.0667
summaryOnly	P_100                 	25	0.09
summaryOnly	P_200                 	25	0.09
summaryOnly	P_500                 	25	0.088
summaryOnly	P_1000                	25	0.076
summaryOnly	num_ret               	26	1000
summaryOnly	num_rel               	26	113
summaryOnly	num_rel_ret           	26	25
summaryOnly	map                   	26	0.0096
summaryOnly	Rprec                 	26	0.0442
summaryOnly	bpref                 	26	0.0544
summaryOnly	recip_rank            	26	0.2
summaryOnly	iprec_at_recall_0.00  	26	0.2
summaryOnly	iprec_at_recall_0.10  	26	0.0449
summaryOnly	iprec_at_recall_0.20  	26	0.0265
summaryOnly	iprec_at_recall_0.30  	26	0
summaryOnly	iprec_at_recall_0.40  	26	0
summaryOnly	iprec_at_recall_0.50  	26	0
summaryOnly	iprec_at_recall_0.60  	26	0
summaryOnly	iprec_at_recall_0.70  	26	0
summaryOnly	iprec_at_recall_0.80  	26	0
summaryOnly	iprec_at_recall_0.90  	26	0
summaryOnly	iprec_at_recall_1.00  	26	0
summaryOnly	P_5                   	26	0.2
summaryOnly	P_10                  	26	0.1
summaryOnly	P_15                  	26	0.0667
summaryOnly	P_20                  	26	0.05
summaryOnly	P_30                  	26	0.0333
summaryOnly	P_100                 	26	0.04
summaryOnly	P_200                 	26	0.04
summaryOnly	P_500                 	26	0.034
summaryOnly	P_1000                	26	0.025
summaryOnly	num_ret               	27	1000
summaryOnly	num_rel               	27	13
summaryOnly	num_rel_ret           	27	10
summaryOnly	map                   	27	0.0196
summaryOnly	Rprec                 	27	0
summaryOnly	bpref                 	27	0
